Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e169-il-50000
Airfoil,e169-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,16.6545
Max Cl/Cd alpha,3
Url,http://airfoiltools.com/polar/csv?polar=xf-e169-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-0.750,-0.1259,0.02878,0.01991,0.0055,0.8683,0.7681
-0.500,-0.0819,0.02869,0.01982,0.0032,0.8510,0.7844
-0.250,-0.0402,0.02864,0.01977,0.0015,0.8340,0.8008
0.000,0.0000,0.02861,0.01973,0.0000,0.8172,0.8172
0.250,0.0402,0.02864,0.01976,-0.0015,0.8008,0.8340
0.500,0.0818,0.02869,0.01981,-0.0032,0.7844,0.8509
0.750,0.1261,0.02878,0.01991,-0.0055,0.7680,0.8683
1.000,0.1726,0.02887,0.02000,-0.0084,0.7517,0.8859
1.250,0.2221,0.02905,0.02019,-0.0122,0.7344,0.9042
1.500,0.2719,0.02920,0.02039,-0.0164,0.7172,0.9232
1.750,0.3290,0.02934,0.02056,-0.0221,0.6992,0.9422
2.000,0.3851,0.02943,0.02070,-0.0279,0.6816,0.9625
2.250,0.4419,0.02943,0.02077,-0.0342,0.6637,0.9843
2.500,0.4881,0.02948,0.02087,-0.0391,0.6474,1.0000
2.750,0.4953,0.02993,0.02133,-0.0376,0.6357,1.0000
3.000,0.5028,0.03019,0.02155,-0.0354,0.6256,1.0000
3.250,0.5037,0.03106,0.02249,-0.0336,0.6133,1.0000
3.500,0.5034,0.03193,0.02337,-0.0311,0.6022,1.0000
3.750,0.5110,0.03237,0.02376,-0.0282,0.5929,1.0000
4.000,0.5137,0.03354,0.02495,-0.0259,0.5808,1.0000
4.250,0.5195,0.03487,0.02628,-0.0240,0.5686,1.0000
4.500,0.5318,0.03598,0.02738,-0.0222,0.5575,1.0000
4.750,0.5541,0.03636,0.02771,-0.0203,0.5467,1.0000
5.000,0.5606,0.03820,0.02963,-0.0190,0.5336,1.0000
5.250,0.5684,0.04008,0.03155,-0.0177,0.5211,1.0000
5.500,0.5816,0.04155,0.03306,-0.0164,0.5090,1.0000
5.750,0.6078,0.04191,0.03344,-0.0147,0.4981,1.0000
6.000,0.6201,0.04349,0.03509,-0.0135,0.4852,1.0000
6.250,0.6199,0.04637,0.03806,-0.0127,0.4723,1.0000
6.500,0.6235,0.04889,0.04064,-0.0118,0.4596,1.0000
6.750,0.6352,0.05068,0.04248,-0.0106,0.4472,1.0000
7.000,0.6606,0.05110,0.04298,-0.0088,0.4345,1.0000
7.250,0.6958,0.05040,0.04236,-0.0065,0.4210,1.0000
7.500,0.6763,0.05531,0.04734,-0.0066,0.4082,1.0000
7.750,0.6295,0.06293,0.05484,-0.0082,0.3994,1.0000
8.000,0.6416,0.06472,0.05672,-0.0070,0.3867,1.0000
8.250,0.6590,0.06590,0.05798,-0.0054,0.3726,1.0000
8.500,0.6151,0.07335,0.06529,-0.0079,0.3668,1.0000
8.750,0.6208,0.07610,0.06808,-0.0074,0.3549,1.0000
9.000,0.7179,0.06786,0.06023,0.0006,0.3288,1.0000
9.250,0.6477,0.07982,0.07194,-0.0054,0.3274,1.0000
9.500,0.6156,0.08696,0.07899,-0.0085,0.3236,1.0000
9.750,0.6252,0.08941,0.08150,-0.0080,0.3103,1.0000
10.000,0.6393,0.09152,0.08369,-0.0071,0.2971,1.0000
10.250,0.6161,0.09819,0.09029,-0.0101,0.2946,1.0000
10.500,0.6275,0.10067,0.09284,-0.0096,0.2814,1.0000
10.750,0.6136,0.10678,0.09892,-0.0122,0.2806,1.0000
11.000,0.6047,0.11242,0.10457,-0.0145,0.2804,1.0000
11.250,0.6002,0.11785,0.11001,-0.0166,0.2812,1.0000
11.500,0.6182,0.12098,0.11324,-0.0160,0.2698,1.0000
11.750,0.5634,0.13385,0.12601,-0.0268,0.3463,1.0000
12.000,0.5575,0.13694,0.12908,-0.0278,0.3390,1.0000
